fips,resistance,recovery,resilience
5131,0.379541,0.706452,0.917037
5133,0.274925,0.651821,0.893084
5135,0.328467,0.741204,0.914507
5137,0.301623,0.724628,0.908355
5139,0.294337,0.737334,0.909261
5141,0.288229,0.72182,0.905585
5143,0.388403,0.687303,0.915631
5145,0.345698,0.704713,0.911492
5147,0.316522,0.787426,0.918193
5149,0.325562,0.721196,0.910824
6001,0.354774,0.745156,0.918583
6003,0.362763,0.639857,0.90283
6005,0.317489,0.684234,0.904279
6007,0.266075,0.699404,0.899447
6009,0.355496,0.709822,0.913112
6011,0.339947,0.710513,0.911524
6013,0.370573,0.705079,0.915288
6015,0.257063,0.690844,0.896259
6017,0.350237,0.666983,0.905586
6019,0.302094,0.678109,0.901359
6021,0.25224,0.700452,0.897479
6023,0.309512,0.701979,0.9058
6025,0.260465,0.686207,0.895441
6027,0.295414,0.737068,0.908977
6029,0.298423,0.690915,0.902754
6031,0.307926,0.681623,0.901543
6033,0.254529,0.714227,0.899716
6035,0.251911,0.70312,0.89709
6037,0.316015,0.723646,0.910707
6039,0.262039,0.644072,0.889026
6041,0.323179,0.687925,0.906516
6043,0.309491,0.752063,0.912285
6045,0.28708,0.707529,0.90286
6047,0.304089,0.664426,0.898197
6049,0.302761,0.797908,0.917133
6051,0.423268,0.659612,0.916475
6053,0.311555,0.703498,0.906729
6055,0.335141,0.704386,0.910195
6057,0.331412,0.704921,0.90955
6059,0.380022,0.685452,0.914348
6061,0.40356,0.689254,0.917862
6063,0.320065,0.751001,0.913551
6065,0.340607,0.666941,0.904452
6067,0.382049,0.810957,0.928864
6069,0.311885,0.647094,0.896531
6071,0.33481,0.690907,0.906966
6073,0.390787,0.773442,0.925734
6075,0.316716,0.797683,0.920135
6077,0.294643,0.681581,0.900913
6079,0.322328,0.697938,0.907552
6081,0.384837,0.710053,0.918087
6083,0.307641,0.724614,0.908939
6085,0.3721,0.735522,0.918728
6087,0.29886,0.672208,0.900117
6089,0.313551,0.724446,0.909023
6091,0.321106,0.723014,0.909575
6093,0.279647,0.729576,0.905844
6095,0.385794,0.735079,0.921082
6097,0.336537,0.679075,0.90631
6099,0.315329,0.672772,0.902355
6101,0.332603,0.677483,0.904806
6103,0.274401,0.696733,0.899281
6105,0.290624,0.712934,0.903695
6107,0.28637,0.657556,0.895315
6109,0.284452,0.695762,0.901276
6111,0.354646,0.69909,0.9113
6113,0.303091,0.779444,0.915506
6115,0.312191,0.746172,0.912498
8001,0.407603,0.679895,0.916075
8003,0.304544,0.724873,0.908884
8005,0.458825,0.760783,0.933033
8007,0.384381,0.649525,0.909681
8009,0.30998,0.766582,0.914669
8011,0.2296,0.692844,0.892092
8013,0.448689,0.775701,0.933908
