fips,value
01001,14.4417
01003,87.4515
01005,7.4385
01007,
01009,5.1976
01011,27.8707
01013,29.5625
01015,95.7590
01017,
01019,23.0441
01021,45.5259
01023,
01025,36.0794
01027,7.3790
01029,39.7878
01031,66.7858
01033,25.6678
01035,39.4633
01037,9.1861
01039,52.7510
01041,28.6184
01043,103.3350
01045,80.8342
01047,43.1541
01049,19.7003
01051,13.5841
01053,37.1028
01055,98.5212
01057,11.8526
01059,9.4934
01061,14.9745
01063,11.6918
01065,19.7576
01067,17.4520
01069,143.9636
01071,39.8747
01073,146.6420
01075,14.1985
01077,121.3801
01079,71.6910
01081,77.7933
01083,34.1459
01085,
01087,324.3243
01089,109.0497
01091,24.8633
01093,13.2140
01095,214.5061
01097,81.4217
01099,50.1208
01101,112.7376
01103,127.9189
01105,20.3542
01107,19.6415
01109,20.9650
01111,26.6205
01113,31.8749
01115,12.6879
01117,61.4551
01119,22.7860
01121,9.8374
01123,26.7217
01125,119.1819
01127,44.2944
01129,11.8807
01131,9.0106
01133,8.2816
02013,59.5238
02016,156.5217
02020,306.3021
02050,1387.9561
02060,0.0000
02068,
02070,581.3954
02090,526.3847
02100,311.7693
02110,515.3367
02122,140.9259
02130,232.1027
02150,257.4003
02164,61.3121
02170,119.5317
02180,672.3032
02185,
02188,790.4626
02201,31.2695
02220,1191.0112
02232,192.4311
02240,115.4235
02261,63.2378
02270,137.3283
02280,271.5424
02282,157.4803
02290,108.1666
04001,103.0239
04003,112.2026
04005,199.7356
04007,67.7724
04009,44.7875
04011,21.3995
04012,133.4586
04013,124.9269
04015,70.3183
04017,71.2297
04019,162.3668
04021,34.8330
04023,44.9727
04025,166.7855
04027,57.5654
05001,80.6712
05003,76.3796
05005,269.2317
05007,147.7379
05009,104.8500
05011,8.9702
05013,
05015,54.0657
05017,393.5599
05019,212.6152
05021,46.3024
05023,62.4171
05025,
05027,188.0249
05029,213.4421
05031,367.7403
05033,45.3831
05035,195.7698
05037,81.2678
05039,206.3185
05041,65.2316
05043,579.9592
05045,105.1603
05047,5.6164
05049,16.4949
05051,203.4484
05053,66.1376
05055,162.4937
05057,62.7044
05059,173.8192
05061,59.2593
05063,167.7535
05065,44.4906
05067,108.3609
05069,174.2811
05071,238.4157
05073,70.3136
05075,200.8151
05077,50.7099
05079,71.5820
05081,7.9796
05083,36.4332
05085,40.5271
05087,127.0648
05089,24.4394
05091,168.0943
05093,88.1655
05095,26.3783
05097,11.0108
05099,114.6395
05101,25.3036
05103,136.9422
05105,9.7609
05107,85.2985
05109,27.2134
05111,239.2147
05113,64.2769
05115,202.5284
05117,36.1272
05119,364.1438
05121,108.1327
05123,204.4686
05125,123.5752
05127,9.3519
05129,214.4028
05131,287.1206
05133,40.1699
05135,141.9614
05137,48.0231
05139,151.6395
05141,53.4093
05143,356.4441
05145,159.0493
05147,86.8307
05149,18.2224
06001,492.6995
06003,627.2401
06005,163.3009
06007,460.6651
06009,127.7340
06011,168.0751
06013,299.9085
06015,371.1598
06017,259.9857
06019,260.9801
06021,114.4697
06023,355.3175
06025,107.7664
06027,353.0690
06029,152.4145
06031,160.3791
06033,328.7424
06035,308.6711
06037,268.5756
06039,126.8214
06041,659.6357
06043,237.5297
06045,447.2567
06047,119.0150
06049,243.8214
06051,178.6097
06053,254.3214
06055,416.4696
06057,501.5522
06059,208.2330
06061,237.8300
06063,247.2321
06065,148.3726
06067,313.0849
06069,84.0956
06071,177.5521
06073,295.6398
06075,793.5772
06077,181.8062
06079,479.7856
06081,300.9567
06083,434.3406
06085,272.4051
06087,571.7355
06089,250.8287
06091,166.5002
06093,325.4791
06095,294.3421
06097,372.9822
06099,164.8506
06101,239.9658
06103,152.2191
06105,356.8717
06107,215.6273
06109,131.8943
06111,291.1917
06113,326.1236
06115,137.9012
08001,269.8048
08003,1415.5900
08005,260.4954
08007,98.0072
08009,27.4348
08011,88.8100
08013,585.3198
08014,98.1686
08015,168.8177
08017,
08019,43.5398
08021,
08023,28.0269
08025,
08027,45.8610
08029,123.8701
08031,451.4493
08033,
08035,85.4951
