fips,value
1001,13.0
1003,16.0
1005,18.0
1007,15.0
1009,18.0
1011,18.0
1013,17.0
1015,15.0
1017,16.0
1019,17.0
1021,19.0
1023,16.0
1025,17.0
1027,19.0
1029,16.0
1031,16.0
1033,14.0
1035,18.0
1037,17.0
1039,17.0
1041,16.0
1043,18.0
1045,15.0
1047,15.0
1049,22.0
1051,13.0
1053,20.0
1055,17.0
1057,15.0
1059,20.0
1061,19.0
1063,16.0
1065,16.0
1067,17.0
1069,16.0
1071,17.0
1073,15.0
1075,17.0
1077,16.0
1079,18.0
1081,15.0
1083,16.0
1085,16.0
1087,15.0
1089,14.0
1091,15.0
1093,16.0
1095,19.0
1097,18.0
1099,17.0
1101,15.0
1103,17.0
1105,16.0
1107,16.0
1109,18.0
1111,18.0
1113,17.0
1115,15.0
1117,11.0
1119,17.0
1121,15.0
1123,16.0
1125,15.0
1127,16.0
1129,18.0
1131,18.0
1133,18.0
2013,42.0
2016,29.0
2020,20.0
2050,30.0
2060,24.0
2068,23.0
2070,29.0
2090,21.0
2100,31.0
2110,19.0
2122,24.0
2130,25.0
2150,28.0
2164,34.0
2170,22.0
2180,28.0
2185,25.0
2188,30.0
2220,25.0
2240,30.0
2261,25.0
2270,30.0
2282,36.0
2290,37.0
4001,25.0
4003,19.0
4005,25.0
4007,21.0
4009,21.0
4011,15.0
4012,27.0
4013,20.0
4015,23.0
4017,23.0
4019,19.0
4021,20.0
4023,27.0
4025,22.0
4027,27.0
5001,19.0
5003,19.0
5005,20.0
5007,19.0
5009,19.0
5011,24.0
5013,20.0
5015,27.0
5017,21.0
5019,18.0
5021,20.0
5023,21.0
5025,19.0
5027,19.0
5029,19.0
5031,20.0
5033,21.0
5035,18.0
5037,19.0
5039,20.0
5041,20.0
5043,19.0
5045,17.0
5047,20.0
5049,22.0
5051,21.0
5053,17.0
5055,18.0
5057,23.0
5059,18.0
5061,23.0
5063,21.0
5065,23.0
5067,20.0
5069,16.0
5071,24.0
5073,22.0
5075,21.0
5077,20.0
5079,20.0
5081,19.0
5083,20.0
5085,16.0
5087,24.0
5089,22.0
5091,19.0
5093,19.0
5095,21.0
5097,23.0
5099,19.0
5101,24.0
5103,16.0
5105,21.0
5107,18.0
5109,25.0
5111,20.0
5113,24.0
5115,21.0
5117,22.0
5119,17.0
5121,21.0
5123,18.0
5125,15.0
5127,24.0
5129,26.0
5131,22.0
5133,29.0
5135,24.0
5137,23.0
5139,18.0
5141,22.0
5143,21.0
5145,20.0
5147,21.0
5149,27.0
6001,15.0
6003,19.0
6005,15.0
6007,19.0
6009,16.0
6011,23.0
6013,14.0
6015,18.0
6017,13.0
6019,22.0
6021,23.0
6023,21.0
6025,23.0
6027,20.0
6029,21.0
6031,20.0
6033,21.0
6035,13.0
6037,25.0
6039,25.0
6041,12.0
6043,19.0
6045,22.0
6047,21.0
6049,22.0
6051,23.0
6053,24.0
6055,18.0
6057,17.0
6059,19.0
6061,13.0
6063,19.0
6065,23.0
6067,18.0
6069,19.0
6071,22.0
6073,18.0
6075,13.0
6077,20.0
6079,17.0
6081,13.0
6083,21.0
6085,13.0
6087,18.0
6089,19.0
6091,21.0
6093,19.0
6095,15.0
6097,18.0
6099,20.0
6101,20.0
6103,20.0
6105,20.0
6107,23.0
6109,17.0
6111,18.0
6113,16.0
6115,19.0
8001,22.0
8003,19.0
8005,18.0
8007,21.0
8009,21.0
8011,17.0
8013,14.0
8014,10.0
8015,19.0
8017,24.0
8019,12.0
8021,20.0
8023,28.0
8025,18.0
8027,21.0
8029,22.0
8031,19.0
8033,24.0
8035,8.0
8037,22.0
8039,13.0
8041,15.0
8043,16.0
8045,24.0
8047,11.0
8049,18.0
8051,21.0
8053,20.0
8055,21.0
8057,24.0
8059,13.0
8061,18.0
8063,22.0
8065,25.0
8067,20.0
8069,15.0
8071,18.0
8073,17.0
8075,18.0
8077,17.0
8079,19.0
8081,18.0
8083,22.0
8085,22.0
8087,22.0
8089,19.0
8091,20.0
8093,18.0
8095,21.0
8097,18.0
8099,21.0
8101,16.0
8103,17.0
8105,21.0
8107,15.0
8109,31.0
8111,24.0
8113,22.0
8115,21.0
8117,19.0
8119,14.0
8121,20.0
8123,19.0
8125,23.0
9001,12.0
9003,10.0
9005,9.0
9007,8.0
9009,11.0
9011,10.0
9013,7.0
9015,10.0
10001,10.0
10003,10.0
10005,12.0
11001,7.0
12001,20.0
12003,17.0
12005,20.0
12007,19.0
12009,20.0
12011,26.0
12013,22.0
12015,22.0
12017,21.0
12019,17.0
12021,28.0
12023,21.0
12027,32.0
12029,20.0
12031,19.0
12033,20.0
12035,22.0
12037,21.0
12039,23.0
12041,22.0
12043,32.0
12045,22.0
12047,21.0
12049,30.0
12051,33.0
12053,21.0
12055,26.0
12057,22.0
12059,21.0
12061,25.0
12063,19.0
12065,20.0
12067,27.0
12069,20.0
12071,26.0
12073,18.0
12075,24.0
12077,21.0
12079,22.0
12081,23.0
12083,25.0
12085,22.0
12086,33.0
12087,27.0
12089,18.0
12091,18.0
12093,29.0
12095,24.0
12097,25.0
12099,25.0
12101,21.0
12103,22.0
12105,23.0
12107,24.0
12109,15.0
12111,25.0
12113,17.0
12115,23.0
12117,20.0
12119,19.0
12121,24.0
12123,19.0
12125,19.0
12127,21.0
12129,17.0
12131,24.0
12133,20.0
13001,24.0
13003,30.0
13005,25.0
13007,20.0
13009,19.0
13011,23.0
13013,22.0
13015,20.0
13017,20.0
13019,23.0
13021,20.0
13023,18.0
13025,24.0
13027,24.0
13029,17.0
13031,22.0
13033,21.0
13035,20.0
13037,23.0
13039,18.0
13043,25.0
13045,22.0
13047,18.0
13049,20.0
13051,21.0
13053,13.0
13055,22.0
13057,18.0
13059,21.0
