fips,value
1001,23.64
1003,30.31
1005,24.41
1007,14.89
1009,21.58
1011,19.31
1013,18.13
1015,19.01
1017,14.15
1019,22.4
1021,14.16
1023,8.15
1025,13.6
1027,21.29
1029,6.32
1031,7.73
1033,26.73
1035,26.87
1037,14.77
1039,14.83
1041,11.61
1043,19.33
1045,20.35
1047,13.09
1049,31.94
1051,13.35
1053,13.84
1055,16.78
1057,8.28
1059,6.75
1061,22.94
1063,3.02
1065,6.07
1067,18.77
1069,18.35
1071,13.5
1073,16.5
1075,9.28
1077,13.01
1079,34.01
1081,18.73
1083,21.32
1085,35.52
1087,25.34
1089,40.88
1091,10.65
1093,3.19
1095,9.3
1097,8.44
1099,14.15
1101,23.16
1103,20.72
1105,18.33
1107,8.67
1109,3.94
1111,10.61
1113,11.8
1115,25.96
1117,22.25
1119,4.25
1121,16.25
1123,25.54
1125,19.69
1127,10.98
1129,3.99
1131,3.94
1133,12.29
2013,26.04
2016,35.83
2050,29.64
2060,0.0
2068,0.0
2070,0.0
2090,9.11
2100,15.96
2105,7.22
2110,10.29
2122,3.15
2130,30.84
2150,3.78
2164,6.3
2170,1.99
2180,6.26
2185,0.0
2195,5.89
2198,4.36
2220,30.11
2230,12.17
2240,1.6
2261,2.88
2275,30.05
2282,0.0
2290,3.95
4001,18.3
4003,12.68
4005,12.85
4007,6.32
4009,0.7
4011,8.25
4012,4.88
4013,24.92
4015,8.07
4017,14.87
4019,9.85
4021,20.03
4023,24.23
4025,4.26
4027,10.59
5001,20.61
5003,3.74
5005,2.22
5007,13.51
5009,53.62
5011,1.96
5013,0.3
5015,14.45
5017,13.7
5019,13.41
5021,24.67
5023,26.59
5025,35.39
5027,13.51
5029,4.76
5031,7.21
5033,14.77
5035,16.4
5037,8.2
5039,13.45
5041,4.71
5043,9.92
5045,23.72
5047,2.89
5049,18.15
5051,18.42
5053,10.09
5055,13.24
5057,11.0
5059,14.5
5061,10.81
5063,23.91
5065,29.23
5067,7.35
5069,23.26
