fips,value
1001,11.0
1003,16.0
1005,18.0
1007,17.0
1009,17.0
1011,17.0
1013,12.0
1015,14.0
1017,13.0
1019,17.0
1021,19.0
1023,15.0
1025,15.0
1027,18.0
1029,21.0
1031,15.0
1033,11.0
1035,5.0
1037,17.0
1039,19.0
1041,20.0
1043,17.0
1045,15.0
1047,18.0
1049,14.0
1051,14.0
1053,14.0
1055,14.0
1057,16.0
1059,18.0
1061,16.0
1063,25.0
1065,17.0
1067,13.0
1069,11.0
1071,12.0
1073,15.0
1075,18.0
1077,13.0
1079,10.0
1081,17.0
1083,12.0
1085,21.0
1087,25.0
1089,14.0
1091,17.0
1093,16.0
1095,21.0
1097,15.0
1099,13.0
1101,15.0
1103,13.0
1105,19.0
1107,16.0
1109,16.0
1111,21.0
1113,16.0
1115,13.0
1117,15.0
1119,19.0
1121,16.0
1123,17.0
1125,15.0
1127,16.0
1129,18.0
1131,16.0
1133,15.0
2013,90.0
2016,65.0
2020,25.0
2050,74.0
2060,33.0
2068,58.0
2070,62.0
2090,27.0
2100,36.0
2110,34.0
2122,31.0
2130,39.0
2150,39.0
2164,80.0
2170,29.0
2180,76.0
2185,81.0
2188,85.0
2220,43.0
2240,40.0
2261,33.0
2270,95.0
2282,57.0
2290,71.0
4001,24.0
4003,23.0
4005,32.0
4007,23.0
4009,27.0
4011,21.0
4012,24.0
4013,24.0
4015,23.0
4017,28.0
4019,24.0
4021,21.0
4023,21.0
4025,26.0
4027,22.0
5001,19.0
5003,15.0
5005,15.0
5007,18.0
5009,13.0
5011,21.0
5013,20.0
5015,24.0
5017,27.0
5019,18.0
5021,19.0
5023,18.0
5025,18.0
5027,16.0
5029,18.0
5031,16.0
5033,15.0
5035,16.0
5037,19.0
5039,24.0
5041,20.0
5043,21.0
5045,16.0
5047,22.0
5049,22.0
5051,20.0
5053,17.0
5055,13.0
5057,19.0
5059,17.0
5061,24.0
5063,16.0
5065,21.0
5067,16.0
5069,15.0
5071,18.0
5073,22.0
5075,21.0
5077,28.0
5079,25.0
5081,16.0
5083,18.0
5085,18.0
5087,24.0
5089,21.0
5091,14.0
5093,18.0
5095,21.0
5097,26.0
5099,11.0
5101,25.0
5103,17.0
5105,17.0
5107,20.0
5109,20.0
5111,18.0
5113,20.0
5115,17.0
5117,21.0
5119,15.0
5121,21.0
5123,19.0
5125,15.0
5127,27.0
5129,18.0
5131,16.0
5133,32.0
5135,25.0
5137,25.0
5139,12.0
5141,21.0
5143,23.0
5145,21.0
5147,13.0
5149,20.0
6001,35.0
6003,48.0
6005,19.0
6007,26.0
6009,20.0
6011,25.0
6013,30.0
6015,25.0
6017,23.0
6019,23.0
6021,26.0
6023,28.0
6025,21.0
6027,28.0
6029,24.0
6031,24.0
6033,26.0
6035,25.0
6037,28.0
6039,24.0
6041,34.0
6043,37.0
6045,28.0
6047,22.0
6049,35.0
6051,46.0
6053,29.0
6055,24.0
6057,24.0
6059,22.0
6061,22.0
6063,26.0
6065,23.0
6067,24.0
6069,23.0
6071,24.0
6073,24.0
6075,63.0
6077,23.0
6079,26.0
6081,30.0
6083,34.0
6085,24.0
6087,29.0
6089,19.0
6091,23.0
6093,29.0
6095,24.0
6097,24.0
6099,21.0
6101,24.0
6103,25.0
6105,31.0
6107,24.0
6109,21.0
6111,23.0
6113,33.0
6115,24.0
8001,23.0
8003,24.0
8005,22.0
8007,30.0
8009,34.0
8011,22.0
8013,35.0
8014,23.0
8015,28.0
8017,30.0
8019,29.0
8021,26.0
8023,27.0
8025,23.0
8027,31.0
8029,28.0
8031,30.0
8033,23.0
8035,20.0
8037,29.0
8039,27.0
8041,23.0
8043,23.0
8045,33.0
8047,24.0
8049,31.0
8051,46.0
8053,49.0
8055,34.0
8057,36.0
8059,22.0
8061,27.0
8063,24.0
8065,41.0
8067,31.0
8069,24.0
8071,25.0
8073,27.0
8075,25.0
8077,21.0
8079,32.0
8081,32.0
8083,25.0
8085,24.0
8087,23.0
8089,26.0
8091,45.0
8093,28.0
8095,31.0
8097,53.0
8099,27.0
8101,21.0
8103,37.0
8105,27.0
8107,34.0
8109,38.0
8111,82.0
8113,53.0
8115,34.0
8117,39.0
8119,28.0
8121,30.0
8123,21.0
8125,31.0
9001,27.0
9003,19.0
9005,17.0
9007,17.0
9009,21.0
9011,21.0
9013,18.0
9015,18.0
10001,17.0
10003,20.0
10005,18.0
11001,66.0
12001,27.0
12003,15.0
12005,17.0
12007,17.0
12009,17.0
12011,20.0
12013,18.0
12015,21.0
12017,17.0
12019,18.0
12021,26.0
12023,17.0
12027,34.0
12029,13.0
12031,20.0
12033,25.0
12035,19.0
12037,26.0
12039,20.0
12041,19.0
12043,28.0
12045,17.0
12047,19.0
12049,34.0
12051,35.0
12053,17.0
12055,22.0
12057,20.0
12059,17.0
12061,17.0
12063,13.0
12065,22.0
12067,27.0
12069,19.0
12071,24.0
12073,18.0
12075,23.0
12077,23.0
12079,26.0
12081,21.0
12083,20.0
12085,22.0
12086,23.0
12087,35.0
12089,19.0
12091,17.0
12093,27.0
12095,20.0
12097,20.0
12099,21.0
12101,19.0
12103,19.0
12105,19.0
12107,19.0
12109,19.0
12111,19.0
12113,18.0
12115,18.0
12117,16.0
12119,25.0
12121,25.0
12123,20.0
12125,14.0
12127,18.0
12129,17.0
12131,17.0
12133,20.0
13001,21.0
13003,25.0
13005,24.0
13007,14.0
13009,18.0
13011,18.0
13013,15.0
13015,16.0
13017,20.0
13019,20.0
13021,17.0
13023,21.0
13025,16.0
13027,20.0
13029,17.0
13031,21.0
13033,14.0
13035,20.0
13037,51.0
13039,16.0
13043,20.0
13045,17.0
13047,13.0
13049,19.0
13051,19.0
13053,49.0
13055,13.0
13057,19.0
13059,24.0
13061,22.0
13063,23.0
13065,20.0
13067,20.0
13069,18.0
13071,25.0
13073,14.0
13075,19.0
13077,18.0
13079,14.0
13081,18.0
13083,23.0
13085,21.0
13087,20.0
13089,28.0
13091,14.0
13093,14.0
13095,24.0
13097,21.0
13099,13.0
13101,34.0
13103,15.0
13105,14.0
13107,22.0
13109,25.0
13111,23.0
13113,19.0
13115,19.0
13117,19.0
13119,20.0
13121,27.0
13123,22.0
13125,10.0
13127,19.0
13129,19.0
13131,16.0
13133,18.0
13135,21.0
13137,18.0
13139,22.0
13141,21.0
13143,18.0
13145,12.0
13147,17.0
13149,16.0
13151,17.0
13153,15.0
13155,28.0
13157,16.0
13159,23.0
13161,21.0
13163,21.0
13165,25.0
13167,30.0
13169,11.0
13171,20.0
13173,17.0
13175,14.0
13177,15.0
13179,17.0
13181,22.0
13183,21.0
13185,16.0
13187,19.0
13189,16.0
13191,23.0
13193,23.0
13195,17.0
13197,17.0
13199,20.0
13201,19.0
13205,25.0
13207,15.0
13209,13.0
13211,12.0
13213,14.0
13215,23.0
13217,19.0
13219,15.0
13221,15.0
13223,17.0
13225,19.0
13227,21.0
13229,14.0
13231,15.0
13233,17.0
13235,15.0
13237,21.0
13239,36.0
13241,22.0
13243,27.0
13245,18.0
13247,26.0
13249,23.0
13251,16.0
13253,20.0
13255,19.0
13257,19.0
13259,28.0
13261,21.0
13263,20.0
13265,12.0
13267,22.0
13269,22.0
13271,9.0
13273,22.0
13275,20.0
13277,22.0
13279,17.0
13281,28.0
13283,17.0
13285,15.0
13287,20.0
13289,5.0
13291,14.0
13293,21.0
13295,15.0
13297,18.0
13299,21.0
13301,20.0
13303,16.0
13305,17.0
13307,11.0
13309,12.0
13311,17.0
13313,17.0
13315,19.0
13317,21.0
13319,12.0
13321,17.0
15001,29.0
15003,35.0
15005,76.0
15007,24.0
15009,30.0
16001,21.0
16003,25.0
16005,22.0
16007,30.0
16009,23.0
16011,20.0
16013,28.0
16015,36.0
16017,24.0
16019,22.0
16021,27.0
16023,30.0
16025,36.0
16027,21.0
16029,25.0
16031,19.0
16033,35.0
16035,19.0
16037,44.0
16039,24.0
16041,22.0
16043,29.0
16045,23.0
16047,28.0
16049,28.0
16051,24.0
16053,17.0
16055,20.0
16057,33.0
16059,32.0
16061,25.0
16063,31.0
16065,36.0
16067,20.0
16069,19.0
16071,24.0
16073,31.0
16075,22.0
16077,22.0
16079,22.0
16081,28.0
16083,19.0
16085,26.0
16087,26.0
17001,17.0
17003,17.0
17005,22.0
17007,16.0
17009,14.0
17011,19.0
17013,24.0
17015,19.0
17017,24.0
17019,32.0
17021,17.0
17023,17.0
17025,13.0
17027,17.0
17029,24.0
17031,37.0
