fips,value
13129,26.6
13131,27.3
13133,21.3
13135,13
13137,22.1
13139,21.2
13141,24.2
13143,25.8
13145,10.8
13147,19.7
13149,27.3
13151,10.5
13153,11.2
13155,18.9
13157,18.9
13159,16.4
13161,20.4
13163,26.2
13165,27.4
13167,24.2
13169,11.3
13171,18.1
13173,23.6
13175,20.2
13177,16.1
13179,9.09999999999999
13181,17.9
13183,15
13185,16
13187,15
13189,25.4
13191,19.5
13193,29.5
13195,21.3
13197,24.9
13199,27
13201,20.1
13205,27.7
13207,20.5
13209,17.7
13211,18.3
13213,30.7
13215,14.6
13217,15.5
13219,8.7
13221,21
13223,11.5
13225,17.3
13227,19.2
13229,22.4
13231,14.9
13233,27.3
13235,22.5
13237,15.5
13239,27.7
13241,14.8
13243,27.7
13245,16.3
13247,13.8
13249,27
13251,21.1
13253,18.8
13255,23.4
13257,19.6
13259,36.9
13261,23.8
13263,23.3
13265,31.7
13267,24.9
13269,23.6
13271,26.1
13273,34.4
13275,18.2
13277,22.5
13279,20.8
13281,13.2
13283,25.6
13285,18.2
13287,27.9
13289,29.7
13291,15.3
13293,22.4
13295,20.9
13297,16.9
13299,19.6
13301,26.8
13303,23.8
13305,18.7
13307,22.5
13309,25.2
13311,14.8
13313,30.9
13315,24.1
13317,23.8
13319,20.3
13321,28.6
15001,9
15003,9.7
15005,12.3
15007,9.90000000000001
15009,9.8
16001,6.40000000000001
16003,7.2
16005,8.2
16007,9.3
16009,12.6
16011,15.4
16013,9.40000000000001
16015,10.8
16017,9.3
16019,9.5
16021,15.1
16023,10.8
16025,15.7
16027,17.3
16029,11.3
16031,22
16033,29.9
16035,15.1
16037,10.4
16039,16
16041,8
16043,12.1
16045,13.7
16047,25.4
16049,11.1
16051,10.6
16053,29.8
16055,7.90000000000001
16057,4.7
16059,9.59999999999999
16061,11.7
16063,25.5
16065,5.09999999999999
16067,24.3
16069,10
16071,6.90000000000001
16073,24.6
16075,14.6
16077,19.7
16079,15.2
16081,12.2
16083,16.3
16085,7.59999999999999
16087,18.2
17001,10.3
17003,25.4
17005,13.7
17007,14.2
17009,18.5
17011,10.8
17013,11
17015,11.1
17017,14
17019,6.40000000000001
17021,11.8
17023,10.5
17025,12.3
17027,11.3
17029,10
17031,15.5
17033,10.8
17035,11.2
17037,8.90000000000001
17039,7.40000000000001
17041,16.2
17043,7.90000000000001
17045,14
17047,13.2
17049,9.09999999999999
17051,15.8
17053,11.4
17055,12.9
17057,13.6
17059,18.7
17061,11.4
17063,8.3
17065,16.2
17067,9.40000000000001
17069,16.8
17071,11.6
17073,10.3
17075,11.7
17077,10.3
17079,8.5
17081,13.2
17083,11.7
17085,8.09999999999999
17087,16.6
17089,17.2
17091,13.6
17093,7.5
17095,14.1
17097,11.1
17099,11.6
17101,23.9
17103,13.6
17105,13.9
17107,14.2
17109,8.3
17111,7.90000000000001
17113,5.59999999999999
17115,11.9
17117,10.9
17119,9.09999999999999
17121,13.3
17123,9.2
17125,14.6
17127,16.6
17129,7.5
17131,9.5
17133,7.2
17135,14.9
17137,11.9
17139,15
17141,11.1
17143,10.1
17145,15.5
17147,7.3
17149,13.9
17151,12.4
17153,19.8
17155,11.2
17157,17.8
17159,9.40000000000001
17161,12.6
17163,10.5
17165,15.1
17167,8
17169,11.1
17171,10.2
17173,10.2
17175,12.1
17177,10.5
17179,8.3
17181,16.1
17183,14.3
17185,10.7
17187,12.2
17189,10.3
17191,13.6
17193,14.6
17195,12.6
17197,9.5
17199,11.1
17201,13.8
17203,7
18001,15.7
18003,11
18005,10.9
18007,11.1
18009,14
18011,6.5
18013,12.9
18015,12.3
18017,16.9
18019,13.8
18021,13.4
18023,15.3
18025,19.2
18027,22.5
18029,11
18031,12.9
18033,12.1
18035,13.1
