fips,value
13173,72.0
13175,88.0
13177,85.0
13179,82.0
13181,84.0
13183,81.0
13185,89.0
13187,84.0
13189,84.0
13191,82.0
13193,74.0
13195,87.0
13197,73.0
13199,86.0
13201,86.0
13205,81.0
13207,84.0
13209,83.0
13211,85.0
13213,85.0
13215,81.0
13217,88.0
13219,86.0
13221,88.0
13223,85.0
13225,81.0
13227,85.0
13229,85.0
13231,78.0
13233,87.0
13235,86.0
13237,86.0
13241,84.0
13243,85.0
13245,77.0
13247,86.0
13249,77.0
13251,90.0
13253,82.0
13255,84.0
13257,90.0
13259,76.0
13261,83.0
13263,82.0
13265,76.0
13267,86.0
13269,79.0
13271,79.0
13273,79.0
13275,84.0
13277,82.0
13279,88.0
13281,90.0
13283,88.0
13285,82.0
13287,88.0
13289,81.0
13291,88.0
13293,76.0
13295,82.0
13297,85.0
13299,84.0
13301,90.0
13303,86.0
13305,86.0
13307,64.0
13309,79.0
13311,88.0
13313,89.0
13315,79.0
13317,78.0
13319,82.0
13321,82.0
15001,85.0
15003,85.0
15007,87.0
15009,84.0
16001,83.0
16003,83.0
16005,81.0
16007,91.0
16009,85.0
16011,75.0
16013,75.0
16015,78.0
16017,81.0
16019,81.0
16021,75.0
16023,81.0
16027,84.0
16029,79.0
16031,76.0
16035,80.0
16037,66.0
16039,79.0
16041,86.0
16043,82.0
16045,75.0
16047,80.0
16049,79.0
16051,74.0
16053,86.0
16055,85.0
16057,87.0
16059,81.0
16061,73.0
16063,88.0
16065,76.0
16067,84.0
16069,86.0
16071,74.0
16073,86.0
16075,78.0
16077,63.0
16079,75.0
16081,92.0
16083,86.0
16085,85.0
16087,89.0
17001,90.0
17003,86.0
17005,71.0
17007,86.0
17009,84.0
17011,80.0
17013,81.0
17015,91.0
17017,83.0
17019,89.0
17021,86.0
17023,84.0
17025,87.0
17027,82.0
17029,87.0
17031,83.0
17033,78.0
17035,88.0
17037,89.0
17039,87.0
17041,93.0
17043,87.0
17045,81.0
17047,86.0
17049,88.0
17051,84.0
17053,92.0
17055,84.0
17057,89.0
17059,88.0
17061,80.0
17063,82.0
17065,81.0
17067,89.0
17069,87.0
17071,84.0
17073,89.0
17075,84.0
17077,83.0
17079,87.0
17081,88.0
17083,86.0
17085,91.0
17087,88.0
17089,86.0
17091,85.0
17093,88.0
17095,88.0
17097,86.0
17099,82.0
17101,66.0
17103,90.0
17105,90.0
17107,93.0
17109,84.0
17111,86.0
17113,90.0
17115,87.0
17117,89.0
17119,84.0
17121,81.0
17123,84.0
17125,88.0
17127,87.0
17129,88.0
17131,85.0
17133,90.0
17135,89.0
17137,86.0
17139,91.0
17141,89.0
17143,87.0
17145,83.0
17147,88.0
17149,91.0
17151,88.0
17153,86.0
17155,78.0
17157,86.0
17159,83.0
17161,89.0
17163,82.0
17165,87.0
17167,87.0
17169,91.0
17171,88.0
17173,84.0
17175,88.0
17177,91.0
17179,89.0
17181,88.0
17183,83.0
17185,89.0
17187,86.0
17189,84.0
17191,94.0
17193,89.0
17195,86.0
17197,84.0
17199,84.0
17201,86.0
17203,93.0
18001,88.0
18003,85.0
18005,86.0
18007,85.0
18009,83.0
18011,89.0
18013,84.0
18015,84.0
18017,66.0
18019,81.0
18021,82.0
18023,87.0
18025,87.0
18027,77.0
18029,89.0
18031,86.0
18033,87.0
18035,85.0
18037,91.0
18039,87.0
18041,82.0
18043,81.0
18045,81.0
18047,88.0
18049,88.0
18051,87.0
18053,86.0
18055,84.0
18057,87.0
18059,85.0
18061,88.0
18063,86.0
18065,87.0
18067,83.0
18069,88.0
18071,85.0
18073,83.0
18075,82.0
18077,82.0
18079,86.0
18081,83.0
18083,28.0
18085,87.0
18087,85.0
18089,81.0
18091,84.0
18093,87.0
18095,86.0
18097,84.0
18099,87.0
