fips,value
13181,55.7
13183,45.3
13185,65.8
13187,61.7
13189,59.5
13191,65.9
13193,59.3
13195,61.7
13197,57.0
13199,58.4
13201,52.0
13205,63.3
13207,65.1
13209,71.1
13211,64.2
13213,52.8
13215,57.5
13217,64.4
13219,72.5
13221,58.7
13223,61.1
13225,61.8
13227,61.2
13229,60.5
13231,55.6
13233,68.0
13235,63.4
13237,62.5
13241,51.8
13243,51.4
13245,50.6
13247,58.3
13249,56.1
13251,60.8
13253,51.2
13255,58.2
13257,58.4
13259,46.7
13261,59.3
13263,64.6
13267,54.9
13269,57.8
13271,51.6
13273,62.1
13275,65.1
13277,67.2
13279,58.6
13281,70.8
13283,60.0
13285,55.1
13287,73.9
13289,55.8
13291,67.5
13293,46.9
13295,57.4
13297,60.0
13299,59.1
13301,50.8
13303,62.8
13305,48.4
13309,50.0
13311,66.0
13313,59.6
13315,54.9
13317,60.4
13319,58.9
13321,69.7
15001,64.4
15003,62.2
15007,66.1
15009,58.8
16001,65.0
16003,67.8
16005,58.0
16007,48.2
16009,48.6
16011,55.7
16013,71.3
16015,67.4
16017,52.7
16019,57.8
16021,48.1
16023,44.8
16027,57.7
16029,59.8
16031,59.5
16035,56.1
16037,63.8
16039,54.3
16041,45.5
16043,42.6
16045,50.0
16047,52.5
16049,54.9
16051,37.2
16053,54.6
16055,64.0
16057,61.9
16059,56.5
16061,52.7
16063,49.3
16065,55.3
16067,56.5
16069,66.6
16071,56.4
16073,59.0
16075,57.2
16077,46.7
16079,44.2
16081,65.2
16083,58.6
16085,63.7
16087,52.3
17001,64.7
17003,57.9
17005,64.8
17007,60.8
17009,67.1
17011,62.7
17013,62.3
17015,56.2
17017,57.0
17019,75.2
17021,65.8
17023,61.2
17025,64.4
17027,66.4
17029,67.6
17031,62.4
17033,62.5
17035,62.9
17037,62.9
17039,65.3
17041,67.5
17043,66.6
17045,62.3
17047,55.2
17049,71.3
17051,58.2
17053,63.3
17055,54.4
17057,59.0
17059,48.4
17061,56.1
17063,67.7
17065,53.2
17067,60.9
17069,49.4
17071,65.5
17073,62.1
17075,61.9
17077,62.5
17079,64.4
17081,70.4
17083,67.3
17085,74.7
17087,71.7
17089,64.0
17091,64.0
17093,63.2
17095,71.6
17097,67.1
17099,62.9
17101,56.0
17103,62.6
17105,71.0
17107,72.4
17109,55.7
17111,64.8
17113,74.0
17115,67.0
17117,69.1
17119,66.5
17121,64.4
17123,61.2
17125,65.3
17127,65.7
17129,72.0
17131,58.9
17133,67.5
17135,71.5
17137,59.9
17139,64.1
17141,67.2
17143,65.4
17145,61.7
17147,72.5
17149,67.4
17151,70.0
17153,67.8
17155,63.4
17157,61.3
17159,56.0
17161,71.7
17163,61.8
17165,57.8
17167,74.1
17169,53.8
17171,58.3
17173,63.4
17175,59.0
17177,68.5
17179,66.4
17181,64.9
17183,62.6
17185,52.0
17187,63.0
17189,69.6
17191,70.3
17193,54.8
17195,67.3
17197,64.4
17199,60.8
17201,63.3
17203,65.7
18001,52.3
18003,57.1
18005,63.8
18007,62.9
18009,54.7
18011,66.3
18013,60.0
18015,65.7
18017,67.9
18019,61.0
18021,51.5
18023,64.1
18025,56.3
18027,56.8
18029,60.5
18031,58.9
18033,55.5
18035,65.3
18037,64.7
18039,59.5
18041,65.8
18043,63.4
18045,66.7
18047,64.8
18049,56.7
18051,65.0
18053,68.2
18055,51.7
18057,68.8
18059,67.2
18061,64.0
18063,66.6
18065,64.8
18067,66.1
18069,55.7
18071,59.4
18073,53.0
18075,63.1
18077,59.6
18079,56.5
18081,66.7
18083,55.3
18085,58.9
18087,59.2
18089,58.1
18091,63.2
18093,64.2
18095,69.8
18097,60.8
18099,53.2
18101,60.9
18103,60.8
18105,62.5
18107,65.5
18109,64.4
18111,57.7
18113,48.7
18115,47.1
18117,56.3
18119,54.2
18121,57.2
18123,56.1
18125,56.1
18127,55.2
18129,66.4
18131,51.7
18133,61.8
18135,64.7
18137,61.5
18139,65.2
18141,60.6
18143,54.8
18145,58.7
18147,67.6
18149,44.0
18151,63.0
18153,48.9
18155,48.9
18157,64.8
18159,60.7
18161,54.8
18163,66.0
18165,48.6
18167,58.1
18169,62.4
18171,71.6
18173,69.4
18175,55.7
18177,59.3
18179,68.8
18181,59.6
18183,58.3
19001,69.3
19003,65.5
19005,78.3
19007,60.5
19009,54.9
19011,66.4
19013,75.0
19015,68.0
19017,74.5
19019,63.4
19021,59.6
19023,73.6
19025,60.4
19027,68.1
19029,65.9
19031,66.4
19033,70.5
19035,67.3
19037,73.3
19039,56.3
19041,59.6
19043,63.2
19045,63.4
19047,63.9
19049,64.3
19051,50.0
19053,53.5
19055,69.7
19057,69.3
19059,63.6
19061,76.5
19063,64.8
19065,60.3
19067,69.9
19069,65.2
19071,54.9
19073,59.6
19075,73.7
19077,65.6
19079,72.7
19081,69.6
19083,68.8
19085,60.8
19087,64.0
19089,70.8
19091,64.0
19093,53.5
19095,65.9
19097,65.8
19099,69.1
19101,51.9
19103,71.2
19105,67.3
19107,59.1
19109,77.8
19111,61.6
19113,72.1
19115,54.1
19117,71.6
19119,77.4
19121,61.8
19123,64.6
19125,71.1
19127,66.3
19129,53.6
19131,70.2
19133,64.3
19135,53.6
19137,64.1
19139,65.7
19141,65.6
19143,61.3
19145,70.9
19147,70.3
19149,62.5
19151,58.0
19153,66.0
19155,62.6
19157,63.5
19159,72.1
19161,60.8
19163,64.0
19165,66.0
19167,70.8
19169,76.0
19171,58.5
19173,69.6
19175,66.0
19177,54.3
19179,61.3
19181,60.7
19183,63.0
19185,58.5
19187,61.7
19189,70.9
19191,68.8
19193,58.9
19195,68.7
19197,61.6
20001,54.8
20003,62.4
20005,55.4
20007,54.2
20009,66.9
20011,60.6
20013,52.4
20015,60.1
20017,77.8
20019,42.9
20021,52.1
20023,58.3
20025,57.1
20027,64.0
20029,72.1
20031,76.8
20033,73.0
20035,53.9
20037,61.7
20039,51.2
20041,65.9
20043,60.2
20045,69.1
20047,62.9
20049,46.9
20051,75.0
20053,60.8
20055,58.4
20057,54.2
20059,72.4
20061,60.6
20063,48.5
20065,66.7
20067,56.5
20069,70.2
20073,48.1
20077,61.5
20079,67.6
20081,51.3
20085,60.0
20087,60.2
20089,55.1
20091,68.8
20093,57.1
20095,53.6
20097,74.1
20099,51.7
20103,56.8
20105,51.2
20107,59.6
20109,52.8
20111,66.8
20113,67.5
20115,58.9
20117,68.1
20119,42.5
20121,66.1
20123,63.8
20125,58.1
20127,71.8
20131,70.6
20133,58.3
20135,70.6
20137,66.1
20139,61.2
20141,69.8
20143,67.1
20145,48.1
20147,64.4
20149,59.3
20151,60.8
20153,64.7
20155,69.3
20157,55.4
20159,63.6
20161,71.7
20163,63.2
20165,71.8
20167,53.0
20169,73.3
20171,76.2
20173,63.9
20175,39.2
20177,69.0
20179,58.1
20181,54.5
20183,72.9
20185,60.4
20189,44.4
20191,58.2
20193,47.6
20195,77.6
20197,59.0
20201,68.5
20205,58.5
20207,56.1
20209,55.4
21001,43.8
21003,47.8
21005,62.2
21007,58.5
21009,57.5
21011,41.7
21013,52.8
21015,63.6
21017,63.2
21019,62.4
21021,58.9
21023,59.3
21025,31.5
21027,62.3
21029,67.8
21031,49.6
21033,58.4
21035,60.6
21037,62.7
21039,78.9
21041,53.2
21043,54.1
21045,44.1
21047,62.7
21049,61.4
21051,44.1
21053,48.6
21055,50.4
21057,40.7
21059,74.5
21061,56.0
21063,50.0
21065,62.4
21067,65.0
21069,52.6
21071,52.9
21073,58.3
21075,61.4
21077,54.5
21079,58.8
21081,61.6
21083,63.2
21085,58.3
21087,55.9
21089,60.3
21091,61.1
21093,62.5
21095,41.2
21097,49.4
21099,47.4
21101,59.2
21103,59.3
21105,68.5
21107,61.9
21109,50.0
21111,65.1
21113,65.8
21115,55.0
21117,60.2
