fips,Communication,Economy,Education,Food and Water,Government,Housing,Healthcare Delivery and Public Health Services,Nurturing and Care,Transportation,Population Well being,Engineered Systems,Vulnerability,Inequality,Deprivation,Social Cohesion,Event,Preparedness,Natural Systems
1001,0.71209312777,0.496223362483,0.451958726119,0.530532922859,0.496283867409,0.447828947901,0.527134075792,0.0,0.357327414731,0.430843545057,0.671283475254,0.497077686328,0.544026123851,0.558458319278,0.46699223537,0.12473049582,0.431533548159,0.930091370748
1003,0.71209312777,0.585875713901,0.404313829461,0.581763004655,0.418653803143,0.569335284063,0.476560828568,0.399859908452,0.357327414731,0.522577433704,0.744892002043,0.488821767394,0.498846011378,0.564199324814,0.490852440893,0.085218512451,0.691798483648,0.371631364438
1005,0.445522685338,0.443853784116,0.397360409059,0.587774167797,0.499590152345,0.416989111958,0.501722308122,0.0,0.172899110446,0.358672292975,0.352045103309,0.385959877033,0.302823533976,0.333156450703,0.471217620756,0.0978415544043,0.490610395538,0.85551445081
1007,0.205140345291,0.394230884368,0.407332922661,0.613306083553,0.415906016171,0.435195073443,0.437147013199,0.632285944236,0.172899110446,0.397030722512,0.630713403137,0.435117838834,0.477580665368,0.388872697216,0.475369737852,0.15503606576,0.410690736716,
1009,0.445522685338,0.388133431932,0.493542121986,0.518059855116,0.279320067202,0.47867989068,0.496158966363,0.0,0.357327414731,0.426263639291,0.613007949147,0.478578036072,0.593141733546,0.473689910757,0.507148317052,0.175520113479,0.471442808603,
1011,0.205140345291,0.217602760407,0.440467919292,0.531461937488,0.544385405219,0.423599533316,0.451322342493,0.0,0.172899110446,0.314289915066,0.509928942103,0.3753897708,0.333127147698,0.300320172168,0.479631693388,0.106458277405,0.471442808603,0.881414356509
1013,0.445522685338,0.443563203706,0.354870376116,0.510714358955,0.515186462861,0.447719864749,0.481857328208,0.0,0.172899110446,0.311822492892,0.437152093982,0.383090739388,0.365503719406,0.336061450468,0.444011421648,0.106607833195,0.490610395538,0.746754208545
1015,0.445522685338,0.441054190549,0.477789570934,0.646209323283,0.676060498844,0.480043839362,0.419181813453,0.0,0.357327414731,0.334393798069,0.643159159072,0.460143675666,0.349042612655,0.406010909207,0.542747408215,0.154972298066,0.451766092095,
1017,0.445522685338,0.333048156243,0.416224508346,0.540818317441,0.491274562619,0.479203077106,0.460037735142,0.696246688263,0.172899110446,0.243330208083,0.582940454217,0.414081710261,0.333127147698,0.376810236582,0.515727241646,0.122776725499,0.431533548159,
1019,0.445522685338,0.410139215292,0.501319305796,0.491465938279,0.397774557371,0.620643720683,0.526710474418,0.0,0.172899110446,0.360803274007,0.563270886072,0.455077903137,0.365503719406,0.413553021118,0.465223947413,0.173725154393,0.490610395538,
