fips,value
1001,0.451622676611156
1003,0.475437589816458
1005,0.414647351265147
1007,0.418096196599615
1009,0.40999201892461
1011,0.355409316781443
1013,0.404173547362796
1015,0.442196938994944
1017,0.392876291339898
1019,0.427218111171958
1021,0.411616276576205
1023,0.397053965364224
1025,0.419154275467975
1027,0.416811901665085
1029,0.414843104360147
1031,0.447573967698869
1033,0.455196469887798
1035,0.389484834164077
1037,0.356227850561337
1039,0.444850333522107
1041,0.40206032685627
1043,0.446896192981023
1045,0.415255504371924
1047,0.40072942683281
1049,0.424676001907931
1051,0.454443166636169
1053,0.408779645568927
1055,0.43087751564916
1057,0.408616745714844
1059,0.390796473309552
1061,0.408013232199943
1063,0.427251852946841
1065,0.384998123027943
1067,0.422410082715236
1069,0.438393839215657
1071,0.439185581847777
1073,0.455043532074466
1075,0.412070370125279
1077,0.433493470649524
1079,0.380865577235537
1081,0.450005766696625
1083,0.454340607422837
1085,0.384573631138024
1087,0.377024485113143
1089,0.476435807064778
1091,0.410327395487105
1093,0.413572883087903
1095,0.436442209946908
1097,0.43159137065388
1099,0.412111015675698
1101,0.462898202005813
1103,0.44631637736893
1105,0.386177989420595
1107,0.416911240291369
1109,0.411587953062697
1111,0.40993735590702
1113,0.403606019970206
1115,0.450116591646387
1117,0.469981148141887
1119,0.396387042924462
1121,0.405181722456506
1123,0.432668804720518
1125,0.4763923229137
1127,0.413386503574162
1129,0.407474961283595
1131,0.405510895159112
1133,0.446082354690429
2013,0.562693618678996
2016,0.568618959996344
2020,0.474246589678878
2050,0.526991691874417
2060,0.595020083566777
2068,0.609049021896098
2070,0.546189810370101
2090,0.479980477223221
2100,0.537950619708887
2105,0.571614221956389
2110,0.559438280632858
2122,0.520987277586908
2130,0.513878117917513
2150,0.568746445716123
2164,0.526831141464838
2170,0.473936127373329
2180,0.551686542319271
2185,0.502266825398016
2188,0.52515564047054
2195,0.574620057680294
2198,0.585947130556635
2220,0.580317561716614
2230,0.625445634229089
2240,0.515731581103315
2261,0.612946748002609
2270,0.499222412580715
2275,0.570444623336593
2282,0.566944060396696
2290,0.519739391976451
4001,0.406521668085128
4003,0.503005964924442
4005,0.522394172209546
4007,0.475542852072557
4009,0.477939505109838
4011,0.500802254232434
4012,0.472371935682962
4013,0.461454712073258
4015,0.465326039250302
4017,0.475953126326583
4019,0.472056294477496
4021,0.452755394158349
4023,0.489211544200039
4025,0.494702327041532
4027,0.492365334336836
5001,0.452254553286634
5003,0.434014046152236
5005,0.441578474640527
5007,0.476702370269872
5009,0.484332817110054
5011,0.451685532057266
5013,0.424023760942278
5015,0.460158323688531
5017,0.451381753415727
5019,0.469568775274891
5021,0.441900275690121
5023,0.466014756607895
5025,0.479826087341835
5027,0.421574485577303
5029,0.443059115186061
5031,0.418287303232366
5033,0.432364007667049
5035,0.431068365757212
5037,0.430636891846279
5039,0.467201239031618
5041,0.446978964887969
5043,0.419802565811075
5045,0.467227663234176
5047,0.448751176731728
5049,0.434797933949388
5051,0.448963998433722
5053,0.42478121763164
5055,0.429059776377655
5057,0.406102356977204
5059,0.421106520115912
5061,0.438413490492335
5063,0.417192324363421
5065,0.453120367782202
5067,0.386658479796577
5069,0.444024509990066
5071,0.451289744084979
5073,0.450683809336279
5075,0.461497974117794
5077,0.35758932568545
5079,0.37903051714687
5081,0.445311910678808
5083,0.441774647065773
5085,0.44608179097097
5087,0.443598462393689
5089,0.450849466023487
